district,candidate,party,votes_received
Mahanuwara,ANURUDDHA ROSHAN RANASINGHE,IND15,17
Mahanuwara,JANAKA RATNAYAKE,ELPP,7
Mahanuwara,NAMAL RAJAPAKSHA,SBP,44
Mahanuwara,NAMAL RAJAPAKSA,SLPP,702
Mahanuwara,WIJEYADASA RAJAPAKSHE,JPF,26
Mahanuwara,A.S.P. LIYANAGE,SLLP,1
Mahanuwara,KEERTHIE WICKRAMARATNE,AJP,11
Mahanuwara,PRIYANTHA WICKRAMASINGHE,NSSP,15
Mahanuwara,RANIL WICKREMESINGHE,IND16,10635
Mahanuwara,PANI WIJESIRIWARDENA,SEP,3
Mahanuwara,OSHALA HERATH,NIF,4
Matale,AKMEEMANA DAYARATHANA THERO,IND1,9
Matale,ABUBAKAR MOHAMED INFAS,DUA,0
Matale,SIRIPALA AMARASINGHE,IND2,0
Matale,K.K. PIYADASA,IND4,15
Matale,SARATH KEERTHIRATHNA,IND5,3
Matale,K.A. KULARATNA,IND6,1
Matale,K.R. KRISHAN,APP,1
Matale,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,0
Matale,DILITH JAYAWEERA,SLCP,128
Matale,SIRITUNGA JAYASURIYA,USP,4
Matale,MYLVAGANAM THILAKARAJAH,IND8,0
Matale,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,16
Matale,LALITH DE SILVA,UNFF,3
Matale,AJANTHA DE ZOYSA,RJA,8
Matale,ANURA KUMARA DISSANAYAKE,NPP,12186
Matale,MAHINDA DEWAGE,SLSP,1
Matale,ARIYANETHIRAN PAKKIYASELVAM,IND9,3
Matale,VICTOR PERERA,IND10,1
Matale,ANURUDDHA POLGAMPALA,IND11,3
Matale,SAJITH PREMADASA,SJB,3816
Matale,SARATH FONSEKA,IND12,21
Matale,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,27
Matale,SARATH BANDARANAYAKE,NDF,3
Matale,BATHTHARAMULLE SEELARATHANA THERO,JSP,4
Matale,NUWAN BOPEGE,SPF,6
Matale,SARATH MANAMENDRA,NSU,1
Matale,PEMASIRI MANAGE,IND14,0
Matale,ANURUDDHA ROSHAN RANASINGHE,IND15,6
Matale,JANAKA RATNAYAKE,ELPP,1
Matale,NAMAL RAJAPAKSHA,SBP,17
Matale,NAMAL RAJAPAKSA,SLPP,372
Matale,WIJEYADASA RAJAPAKSHE,JPF,12
Matale,A.S.P. LIYANAGE,SLLP,2
Matale,KEERTHIE WICKRAMARATNE,AJP,2
Matale,PRIYANTHA WICKRAMASINGHE,NSSP,10
Matale,RANIL WICKREMESINGHE,IND16,4243
Matale,PANI WIJESIRIWARDENA,SEP,0
Matale,OSHALA HERATH,NIF,3
